# t    Ek    Ep    Etot
2.27000000000000e+00 2.43900298208158e+01 -1.80602043998102e+02 -1.56212014177286e+02
2.28000000000000e+00 2.38941860687967e+01 -1.80121131571288e+02 -1.56226945502491e+02
2.29000000000000e+00 2.25191013955358e+01 -1.78758544059620e+02 -1.56239442664084e+02
2.30000000000000e+00 2.01540037054668e+01 -1.76398953136427e+02 -1.56244949430960e+02
2.31000000000000e+00 1.68093649112164e+01 -1.73047161649968e+02 -1.56237796738751e+02
2.32000000000000e+00 1.26945920304215e+01 -1.68907916485304e+02 -1.56213324454882e+02
2.33000000000000e+00 8.27332232845350e+00 -1.64444990654784e+02 -1.56171668326330e+02
2.34000000000000e+00 4.24359156799075e+00 -1.60365013960904e+02 -1.56121422392913e+02
2.35000000000000e+00 1.39837727712379e+00 -1.57477633685198e+02 -1.56079256408074e+02
2.36000000000000e+00 3.81476155742436e-01 -1.56444136421000e+02 -1.56062660265257e+02
2.37000000000000e+00 1.44243753990302e+00 -1.57521654619393e+02 -1.56079217079490e+02
2.38000000000000e+00 4.33235377567814e+00 -1.60453691212738e+02 -1.56121337437060e+02
2.39000000000000e+00 8.40813441722350e+00 -1.64579664504197e+02 -1.56171530086973e+02
2.40000000000000e+00 1.28775761866402e+01 -1.69090705236338e+02 -1.56213129049698e+02
2.41000000000000e+00 1.70434245045669e+01 -1.73280970147372e+02 -1.56237545642805e+02
2.42000000000000e+00 2.04427500739580e+01 -1.76687397952589e+02 -1.56244647878631e+02
2.43000000000000e+00 2.28667254054671e+01 -1.79105822633823e+02 -1.56239097228356e+02
2.44000000000000e+00 2.43053129115331e+01 -1.80531875363041e+02 -1.56226562451508e+02
2.45000000000000e+00 2.48695851478976e+01 -1.81081184011463e+02 -1.56211598863565e+02
2.46000000000000e+00 2.47246430996034e+01 -1.80921721206441e+02 -1.56197078106838e+02
2.47000000000000e+00 2.40444452843817e+01 -1.80228880775167e+02 -1.56184435490785e+02
2.48000000000000e+00 2.29870580016451e+01 -1.79161206465513e+02 -1.56174148463868e+02
2.49000000000000e+00 2.16843632476309e+01 -1.77850524263248e+02 -1.56166161015617e+02
2.50000000000000e+00 2.02403252433856e+01 -1.76400499876426e+02 -1.56160174633040e+02
2.51000000000000e+00 1.87335228460921e+01 -1.74889341181105e+02 -1.56155818335013e+02
2.52000000000000e+00 1.72213105476349e+01 -1.73374045310640e+02 -1.56152734763006e+02
2.53000000000000e+00 1.57441919436208e+01 -1.71894807963872e+02 -1.56150616020251e+02
2.54000000000000e+00 1.43297540284102e+01 -1.70478966747586e+02 -1.56149212719175e+02
2.55000000000000e+00 1.29959369512652e+01 -1.69144267399855e+02 -1.56148330448590e+02
2.56000000000000e+00 1.17536265922157e+01 -1.67901448046066e+02 -1.56147821453850e+02
2.57000000000000e+00 1.06086484634928e+01 -1.66756223879736e+02 -1.56147575416243e+02
2.58000000000000e+00 9.56326923999123e+00 -1.65710780280493e+02 -1.56147511040501e+02
